Name,Team,POS,Salary
Thomas Morstead,NO,P,"$3,250,000"
Michael Bennett,DAL,DE,"$3,213,489"
Clayton Geathers,IND,SS,"$3,187,500"
Sam Koch,BAL,P,"$3,156,898"
Patrick Onwuasor,BAL,ILB,"$3,132,555"
Mitchell Trubisky,CHI,QB,"$3,131,564"
Michael Pierce,BAL,DT,"$3,130,618"
Andre Roberts,BUF,WR,"$3,122,287"
David Andrews,NE,C,"$3,100,000"
Shelby Harris,DEN,DT,"$3,095,000"
Chester Rogers,IND,WR,"$3,095,000"
Anthony Harris,MIN,SS,"$3,095,000"
Cory Littleton,LAR,ILB,"$3,095,000"
Robbie Anderson,NYJ,WR,"$3,095,000"
Jalen Richard,OAK,RB,"$3,095,000"
Daryl Worley,OAK,CB,"$3,095,000"
Nate Sudfeld,PHI,QB,"$3,095,000"
Ka'imi Fairbairn,HOU,K,"$3,095,000"
B.J. Finney,PIT,G,"$3,095,000"
George Fant,SEA,T,"$3,095,000"
Colt McCoy,WAS,QB,"$3,093,750"
Quinton Dunbar,WAS,CB,"$3,071,875"
Marquise Blair,SEA,S,"$3,050,744"
Kevin Johnson,BUF,CB,"$3,048,557"
Terrance Mitchell,CLE,CB,"$3,025,243"
Solomon Thomas,SF,DE,"$3,024,490"
Rigoberto Sanchez,IND,P,"$3,000,000"
LeSean McCoy,KC,RB,"$3,000,000"
A.J. McCarron,HOU,QB,"$3,000,000"
Jamie Collins,NE,OLB,"$3,000,000"
Chris Boswell,PIT,K,"$3,000,000"
Tyson Alualu,PIT,DE,"$3,000,000"
Anthony Chickillo,PIT,OLB,"$3,000,000"
Cameron Fleming,DAL,T,"$2,974,952"
Luke Stocker,ATL,TE,"$2,962,616"
Jamize Olawale,DAL,FB,"$2,957,310"
Erik McCoy,NO,C,"$2,944,512"
Leonard Fournette,JAC,RB,"$2,933,258"
DeForest Buckner,SF,DT,"$2,930,589"
Chris Thompson,WAS,RB,"$2,921,875"
Spencer Pulley,NYG,C,"$2,900,000"
Morris Claiborne,KC,CB,"$2,875,882"
Jack Crawford,ATL,DT,"$2,858,224"
Senio Kelemete,HOU,G,"$2,843,750"
Ben Banogu,IND,DE,"$2,838,276"
Dustin Hopkins,WAS,K,"$2,825,000"
Geronimo Allison,GB,WR,"$2,800,000"
Ross Cockrell,CAR,CB,"$2,797,373"
D.J. Fluker,SEA,G,"$2,787,500"
Corey Davis,TEN,WR,"$2,773,614"
Drew Stanton,CLE,QB,"$2,765,625"
Josh Bellamy,NYJ,WR,"$2,750,000"
Jonotthan Harrison,NYJ,C,"$2,750,000"
Steve McLendon,NYJ,DT,"$2,750,000"
Damien Wilson,KC,OLB,"$2,750,000"
Michael Person,SF,G,"$2,750,000"
Mike Iupati,SEA,G,"$2,750,000"
Brandon McManus,DEN,K,"$2,750,000"
Irv Smith,MIN,TE,"$2,732,040"
Kenny Wiggins,DET,G,"$2,718,750"
Daniel Kilgore,MIA,C,"$2,681,250"
Raheem Mostert,SF,RB,"$2,650,000"
Leonard Floyd,CHI,OLB,"$2,643,815"
Nevin Lawson,OAK,CB,"$2,638,235"
A.J. Brown,TEN,WR,"$2,625,812"
Jack Conklin,TEN,RT,"$2,617,862"
Bradley Pinion,TB,P,"$2,600,000"
Adarius Taylor,CLE,ILB,"$2,580,641"
Chris Conley,JAC,WR,"$2,566,666"
Drew Sample,CIN,TE,"$2,562,504"
Chad Henne,KC,QB,"$2,550,000"
Kiko Alonso,NO,OLB,"$2,550,000"
Matt Bosher,ATL,P,"$2,547,038"
Phillip Dorsett,NE,WR,"$2,537,500"
Adrian Peterson,WAS,RB,"$2,530,000"
Demaryius Thomas,NYJ,WR,"$2,528,390"
Eli Apple,NO,CB,"$2,516,225"
Ryan Succop,TEN,K,"$2,500,000"
Dustin Colquitt,KC,P,"$2,500,000"
Erik Harris,OAK,S,"$2,500,000"
Matt Prater,DET,K,"$2,500,000"
Matthew Slater,NE,WR,"$2,500,000"
Virgil Green,LAC,TE,"$2,500,000"
Ted Ginn Jr.,NO,WR,"$2,500,000"
Laken Tomlinson,SF,G,"$2,500,000"
Mike Remmers,NYG,RT,"$2,500,000"
Jamal Adams,NYJ,SS,"$2,488,528"
Theo Riddick,DEN,RB,"$2,468,750"
Xavier Williams,KC,DT,"$2,463,250"
Kevin Huber,CIN,P,"$2,409,854"
