Year,Name,POS,Salary,Team Abbv.,Team Name,Division
2016,Andy Levitre,G,"$4,000,000 ",ATL,Atlanta Falcons,NFC South
2016,Shawn Lauvao,G,"$4,000,000 ",WAS,Washington Commanders,NFC East
2016,Benson Mayowa,DE,"$4,000,000 ",DAL,Dallas Cowboys,NFC East
2016,Dennis Pitta,TE,"$4,000,000 ",BAL,Baltimore Ravens,AFC North
2016,Benjamin Watson,TE,"$4,000,000 ",BAL,Baltimore Ravens,AFC North
2016,Al Woods,DT,"$3,968,750 ",TEN,Tennessee Titans,AFC South
2016,Letroy Guion,DE,"$3,950,000 ",GB,Green Bay Packers,NFC North
2016,Travis Frederick,C,"$3,941,882 ",DAL,Dallas Cowboys,NFC East
2016,Shea McClellin,OLB,"$3,907,624 ",NE,New England Patriots,AFC East
2016,Paul Soliai,DT,"$3,906,250 ",CAR,Carolina Panthers,NFC South
2016,Quinton Dial,DT,"$3,902,000 ",SF,San Francisco 49ers,NFC West
2016,Garrett Celek,TE,"$3,900,000 ",SF,San Francisco 49ers,NFC West
2016,Jamar Taylor,CB,"$3,899,475 ",CLE,Cleveland Browns,AFC North
2016,Roy Miller,DT,"$3,875,000 ",JAC,Jacksonville Jaguars,AFC South
2016,Robert Alford,CB,"$3,868,827 ",ATL,Atlanta Falcons,NFC South
2016,Zane Beadles,G,"$3,800,000 ",SF,San Francisco 49ers,NFC West
2016,Shane Vereen,RB,"$3,750,000 ",NYG,New  York Giants,NFC East
2016,William Gay,CB,"$3,750,000 ",PIT,Pittsburgh Steelers,AFC North
2016,Domata Peko,DT,"$3,725,000 ",CIN,Cincinnati Bengals,AFC North
2016,Aaron Williams,SS,"$3,675,000 ",BUF,Buffalo Bills,AFC East
2016,Dustin Colquitt,P,"$3,650,000 ",KC,Kansas City Chiefs,AFC West
2016,Case Keenum,QB,"$3,635,000 ",LAR,Los Angeles Rams,NFC West
2016,Dan Skuta,OLB,"$3,600,000 ",JAC,Jacksonville Jaguars,AFC South
2016,Sebastian Janikowski,K,"$3,600,000 ",OAK,Oakland Raiders,AFC West
2016,Nigel Bradham,OLB,"$3,500,000 ",PHI,Philadelphia Eagles,NFC East
2016,Jermaine Gresham,TE,"$3,500,000 ",ARI,Arizona Cardinals,NFC West
2016,Drew Stanton,QB,"$3,500,000 ",ARI,Arizona Cardinals,NFC West
2016,Wesley Woodyard,ILB,"$3,500,000 ",TEN,Tennessee Titans,AFC South
2016,Bilal Powell,RB,"$3,500,000 ",NYJ,New York Jets,AFC East
2016,Thomas Morstead,P,"$3,500,000 ",NO,New Orleans Saints,NFC South
2016,Joe Hawley,C,"$3,500,000 ",TB,Tampa Bay Buccaneers,NFC South
2016,Jeremy Zuttah,C,"$3,500,000 ",BAL,Baltimore Ravens,AFC North
2016,Thomas Davis,OLB,"$3,500,000 ",CAR,Carolina Panthers,NFC South
2016,Andre Smith,G,"$3,468,750 ",MIN,Minnesota Vikings,NFC North
2016,Zach Miller,TE,"$3,468,750 ",CHI,Chicago Bears,NFC North
2016,Emmanuel Ogbah,DE,"$3,457,012 ",CLE,Cleveland Browns,AFC North
2016,Kevin Dodd,OLB,"$3,415,313 ",TEN,Tennessee Titans,AFC South
2016,Jon Ryan,P,"$3,400,000 ",SEA,Seattle Seahawks,NFC West
2016,Jaylon Smith,ILB,"$3,373,615 ",DAL,Dallas Cowboys,NFC East
2016,Matt Prater,K,"$3,300,000 ",DET,Detroit Lions,NFC North
2016,Josh Hill,TE,"$3,296,719 ",NO,New Orleans Saints,NFC South
2016,Luke Joeckel,G,"$3,296,127 ",JAC,Jacksonville Jaguars,AFC South
2016,Hunter Henry,TE,"$3,290,223 ",SD,San Diego Chargers,AFC West
2016,Brandon Fusco,G,"$3,281,259 ",MIN,Minnesota Vikings,NFC North
2016,Chris Baker,DT,"$3,275,000 ",WAS,Washington Commanders,NFC East
2016,Myles Jack,OLB,"$3,256,866 ",JAC,Jacksonville Jaguars,AFC South
2016,Adam Vinatieri,K,"$3,250,000 ",IND,Indianapolis Colts,AFC South
2016,Chris Clark,LT,"$3,250,000 ",HOU,Houston Texans,AFC South
2016,Anquan Boldin,WR,"$3,250,000 ",DET,Detroit Lions,NFC North
2016,Nick Fairley,DT,"$3,250,000 ",NO,New Orleans Saints,NFC South
2016,Clinton McDonald,DT,"$3,250,000 ",TB,Tampa Bay Buccaneers,NFC South
2016,James Hanna,TE,"$3,250,000 ",DAL,Dallas Cowboys,NFC East
2016,Shaun Hill,QB,"$3,250,000 ",MIN,Minnesota Vikings,NFC North
2016,Allen Bailey,DE,"$3,212,500 ",KC,Kansas City Chiefs,AFC West
2016,Chris Jones,DE,"$3,181,801 ",KC,Kansas City Chiefs,AFC West
2016,Sam Martin,P,"$3,175,000 ",DET,Detroit Lions,NFC North
2016,Joe Reitz,G,"$3,156,250 ",IND,Indianapolis Colts,AFC South
2016,Johnson Bademosi,CB,"$3,150,000 ",DET,Detroit Lions,NFC North
2016,Tramaine Brock,CB,"$3,150,000 ",SF,San Francisco 49ers,NFC West
2016,Terence Newman,CB,"$3,139,535 ",MIN,Minnesota Vikings,NFC North
2016,Phil Dawson,K,"$3,134,000 ",SF,San Francisco 49ers,NFC West
2016,Xavien Howard,CB,"$3,106,756 ",MIA,Miami Dolphins,AFC East
2016,Akeem Ayers,OLB,"$3,100,000 ",IND,Indianapolis Colts,AFC South
2016,Mark Ingram,RB,"$3,100,000 ",NO,New Orleans Saints,NFC South
2016,Graham Gano,K,"$3,100,000 ",CAR,Carolina Panthers,NFC South
2016,Ryan Schraeder,RT,"$3,053,000 ",ATL,Atlanta Falcons,NFC South
2016,Paul Kruger,OLB,"$3,048,882 ",NO,New Orleans Saints,NFC South
